rank	gene	description	N	n	CpG_transition	other_CG_transition	CG_transversion	AT_mutation	indelPlusnull	p	q
15862	RAB14	RAB14, member RAS oncogene family	221459	0	0	0	0	0	0	1.00	1.00
15863	RAB17	RAB17, member RAS oncogene family	195619	0	0	0	0	0	0	1.00	1.00
15864	RAB18	RAB18, member RAS oncogene family	204650	0	0	0	0	0	0	1.00	1.00
15865	RAB19	RAB19, member RAS oncogene family	225693	0	0	0	0	0	0	1.00	1.00
15866	RAB1A	RAB1A, member RAS oncogene family	168934	0	0	0	0	0	0	1.00	1.00
15867	RAB20	RAB20, member RAS oncogene family	194263	0	0	0	0	0	0	1.00	1.00
15868	RAB21	RAB21, member RAS oncogene family	193798	0	0	0	0	0	0	1.00	1.00
15869	RAB22A	RAB22A, member RAS oncogene family	199496	0	0	0	0	0	0	1.00	1.00
15870	RAB23	RAB23, member RAS oncogene family	242517	0	0	0	0	0	0	1.00	1.00
15871	RAB24	RAB24, member RAS oncogene family	190236	0	0	0	0	0	0	1.00	1.00
15872	RAB25	RAB25, member RAS oncogene family	191513	0	0	0	0	0	0	1.00	1.00
15873	RAB27B	RAB27B, member RAS oncogene family	232150	0	0	0	0	0	0	1.00	1.00
15874	RAB2A	RAB2A, member RAS oncogene family	203218	0	0	0	0	0	0	1.00	1.00
15875	RAB30	RAB30, member RAS oncogene family	218578	0	0	0	0	0	0	1.00	1.00
15876	RAB31	RAB31, member RAS oncogene family	167576	0	0	0	0	0	0	1.00	1.00
15877	RAB32	RAB32, member RAS oncogene family	179268	0	0	0	0	0	0	1.00	1.00
15878	RAB33A	RAB33A, member RAS oncogene family	228042	0	0	0	0	0	0	1.00	1.00
15879	RAB33B	RAB33B, member RAS oncogene family	190509	0	0	0	0	0	0	1.00	1.00
15880	RAB34	RAB34, member RAS oncogene family	216689	0	0	0	0	0	0	1.00	1.00
15881	RAB35	RAB35, member RAS oncogene family	161250	0	0	0	0	0	0	1.00	1.00
15882	RAB38	RAB38, member RAS oncogene family	214353	0	0	0	0	0	0	1.00	1.00
15883	RAB39	RAB39, member RAS oncogene family	185362	0	0	0	0	0	0	1.00	1.00
15884	RAB39B	RAB39B, member RAS oncogene family	215165	0	0	0	0	0	0	1.00	1.00
15885	RAB3A	RAB3A, member RAS oncogene family	227309	0	0	0	0	0	0	1.00	1.00
15886	RAB3IL1	RAB3A interacting protein (rabin3)-like 1	192286	0	0	0	0	0	0	1.00	1.00
15887	RAB40A	RAB40A, member RAS oncogene family	224871	0	0	0	0	0	0	1.00	1.00
15888	RAB40B	RAB40B, member RAS oncogene family	186923	0	0	0	0	0	0	1.00	1.00
15889	RAB40C	RAB40C, member RAS oncogene family	103411	0	0	0	0	0	0	1.00	1.00
15890	RAB42	RAB42, member RAS oncogene family	62946	0	0	0	0	0	0	1.00	1.00
15891	RAB43	RAB43, member RAS oncogene family	114774	0	0	0	0	0	0	1.00	1.00
15892	RAB4B	RAB4B, member RAS oncogene family	187701	0	0	0	0	0	0	1.00	1.00
15893	RAB5A	RAB5A, member RAS oncogene family	225878	0	0	0	0	0	0	1.00	1.00
15894	RAB5B	RAB5B, member RAS oncogene family	231290	0	0	0	0	0	0	1.00	1.00
15895	RAB5C	RAB5C, member RAS oncogene family	225356	0	0	0	0	0	0	1.00	1.00
15896	RAB6A	RAB6A, member RAS oncogene family	250308	0	0	0	0	0	0	1.00	1.00
15897	RAB6B	RAB6B, member RAS oncogene family	224624	0	0	0	0	0	0	1.00	1.00
15898	RAB6C	RAB6C, member RAS oncogene family	129429	0	0	0	0	0	0	1.00	1.00
15899	RAB8A	RAB8A, member RAS oncogene family	215871	0	0	0	0	0	0	1.00	1.00
15900	RAB8B	RAB8B, member RAS oncogene family	192965	0	0	0	0	0	0	1.00	1.00
15901	RAB9B	RAB9B, member RAS oncogene family	204730	0	0	0	0	0	0	1.00	1.00
15902	RABAC1	Rab acceptor 1 (prenylated)	30595	0	0	0	0	0	0	1.00	1.00
15903	RABGAP1	RAB GTPase activating protein 1	1100094	0	0	0	0	0	0	1.00	1.00
15904	RABGEF1	RAB guanine nucleotide exchange factor (GEF) 1	489409	0	0	0	0	0	0	1.00	1.00
15905	RABGGTA	Rab geranylgeranyltransferase, alpha subunit	440174	0	0	0	0	0	0	1.00	1.00
15906	RABGGTB	Rab geranylgeranyltransferase, beta subunit	345346	0	0	0	0	0	0	1.00	1.00
15907	RABIF	RAB interacting factor	98527	0	0	0	0	0	0	1.00	1.00
15908	RABL2A	RAB, member of RAS oncogene family-like 2A	157254	0	0	0	0	0	0	1.00	1.00
15909	RABL2B	RAB, member of RAS oncogene family-like 2B	154516	0	0	0	0	0	0	1.00	1.00
15910	RABL3	RAB, member of RAS oncogene family-like 3	192594	0	0	0	0	0	0	1.00	1.00
15911	RABL5	RAB, member RAS oncogene family-like 5	186492	0	0	0	0	0	0	1.00	1.00
15912	RAC1	ras-related C3 botulinum toxin substrate 1 (rho family, small GTP binding protein Rac1)	203014	0	0	0	0	0	0	1.00	1.00
15913	RAC2	ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)	139864	0	0	0	0	0	0	1.00	1.00
15914	RAC3	ras-related C3 botulinum toxin substrate 3 (rho family, small GTP binding protein Rac3)	27962	0	0	0	0	0	0	1.00	1.00
15915	RACGAP1	Rac GTPase activating protein 1	663719	0	0	0	0	0	0	1.00	1.00
15916	RAD17	RAD17 homolog (S. pombe)	651961	0	0	0	0	0	0	1.00	1.00
15917	RAD21L1	RAD21-like 1 (S. pombe)	64598	0	0	0	0	0	0	1.00	1.00
15918	RAD51AP1	RAD51 associated protein 1	373832	0	0	0	0	0	0	1.00	1.00
15919	RAD51AP2		854908	0	0	0	0	0	0	1.00	1.00
15920	RAD51C	RAD51 homolog C (S. cerevisiae)	387591	0	0	0	0	0	0	1.00	1.00
15921	RAD51L1	RAD51-like 1 (S. cerevisiae)	394768	0	0	0	0	0	0	1.00	1.00
15922	RAD51L3	RAD51-like 3 (S. cerevisiae)	373617	0	0	0	0	0	0	1.00	1.00
15923	RAD52	RAD52 homolog (S. cerevisiae)	416419	0	0	0	0	0	0	1.00	1.00
15924	RAD54B	RAD54 homolog B (S. cerevisiae)	937860	0	0	0	0	0	0	1.00	1.00
15925	RAD9A	RAD9 homolog A (S. pombe)	274136	0	0	0	0	0	0	1.00	1.00
15926	RAD9B	RAD9 homolog B (S. cerevisiae)	383623	0	0	0	0	0	0	1.00	1.00
15927	RADIL		198033	0	0	0	0	0	0	1.00	1.00
15928	RAE1	RAE1 RNA export 1 homolog (S. pombe)	387306	0	0	0	0	0	0	1.00	1.00
15929	RAET1E	retinoic acid early transcript 1E	282655	0	0	0	0	0	0	1.00	1.00
15930	RAET1G	retinoic acid early transcript 1G	266671	0	0	0	0	0	0	1.00	1.00
15931	RAF1	v-raf-1 murine leukemia viral oncogene homolog 1	690873	0	0	0	0	0	0	1.00	1.00
15932	RAI2	retinoic acid induced 2	527846	0	0	0	0	0	0	1.00	1.00
15933	RALA	v-ral simian leukemia viral oncogene homolog A (ras related)	209964	0	0	0	0	0	0	1.00	1.00
15934	RALB	v-ral simian leukemia viral oncogene homolog B (ras related; GTP binding protein)	216056	0	0	0	0	0	0	1.00	1.00
15935	RALBP1	ralA binding protein 1	569176	0	0	0	0	0	0	1.00	1.00
15936	RALGAPB		1570779	0	0	0	0	0	0	1.00	1.00
15937	RALGPS2	Ral GEF with PH domain and SH3 binding motif 2	600060	0	0	0	0	0	0	1.00	1.00
15938	RAMP1	receptor (G protein-coupled) activity modifying protein 1	103708	0	0	0	0	0	0	1.00	1.00
15939	RAMP2	receptor (G protein-coupled) activity modifying protein 2	133453	0	0	0	0	0	0	1.00	1.00
15940	RAMP3	receptor (G protein-coupled) activity modifying protein 3	126562	0	0	0	0	0	0	1.00	1.00
15941	RAN	RAN, member RAS oncogene family	201693	0	0	0	0	0	0	1.00	1.00
15942	RANBP9	RAN binding protein 9	575641	0	0	0	0	0	0	1.00	1.00
15943	RANGAP1	Ran GTPase activating protein 1	514716	0	0	0	0	0	0	1.00	1.00
15944	RANGRF	RAN guanine nucleotide release factor	189936	0	0	0	0	0	0	1.00	1.00
15945	RAP1A	RAP1A, member of RAS oncogene family	195252	0	0	0	0	0	0	1.00	1.00
15946	RAP1B	RAP1B, member of RAS oncogene family	172869	0	0	0	0	0	0	1.00	1.00
15947	RAP1GDS1	RAP1, GTP-GDP dissociation stimulator 1	547252	0	0	0	0	0	0	1.00	1.00
15948	RAP2A	RAP2A, member of RAS oncogene family	161943	0	0	0	0	0	0	1.00	1.00
15949	RAP2B	RAP2B, member of RAS oncogene family	103734	0	0	0	0	0	0	1.00	1.00
15950	RAPGEF3	Rap guanine nucleotide exchange factor (GEF) 3	722903	0	0	0	0	0	0	1.00	1.00
15951	RAPGEF4	Rap guanine nucleotide exchange factor (GEF) 4	942898	0	0	0	0	0	0	1.00	1.00
15952	RAPGEFL1	Rap guanine nucleotide exchange factor (GEF)-like 1	373746	0	0	0	0	0	0	1.00	1.00
15953	RARB	retinoic acid receptor, beta	475730	0	0	0	0	0	0	1.00	1.00
15954	RARRES2	retinoic acid receptor responder (tazarotene induced) 2	91190	0	0	0	0	0	0	1.00	1.00
15955	RASA4	RAS p21 protein activator 4	120385	0	0	0	0	0	0	1.00	1.00
15956	RASAL3		352476	0	0	0	0	0	0	1.00	1.00
15957	RASD1	RAS, dexamethasone-induced 1	57364	0	0	0	0	0	0	1.00	1.00
15958	RASD2	RASD family, member 2	241512	0	0	0	0	0	0	1.00	1.00
15959	RASEF	RAS and EF-hand domain containing	623493	0	0	0	0	0	0	1.00	1.00
15960	RASGEF1B	RasGEF domain family, member 1B	488175	0	0	0	0	0	0	1.00	1.00
15961	RASGRP4	RAS guanyl releasing protein 4	486937	0	0	0	0	0	0	1.00	1.00
15962	RASIP1	Ras interacting protein 1	397491	0	0	0	0	0	0	1.00	1.00
15963	RASL10A	RAS-like, family 10, member A	25126	0	0	0	0	0	0	1.00	1.00
15964	RASL11A	RAS-like, family 11, member A	200727	0	0	0	0	0	0	1.00	1.00
15965	RASSF10	Ras association (RalGDS/AF-6) domain family (N-terminal) member 10	100519	0	0	0	0	0	0	1.00	1.00
15966	RASSF3	Ras association (RalGDS/AF-6) domain family member 3	224326	0	0	0	0	0	0	1.00	1.00
15967	RASSF6	Ras association (RalGDS/AF-6) domain family member 6	340729	0	0	0	0	0	0	1.00	1.00
15968	RASSF7	Ras association (RalGDS/AF-6) domain family (N-terminal) member 7	30452	0	0	0	0	0	0	1.00	1.00
15969	RASSF8	Ras association (RalGDS/AF-6) domain family (N-terminal) member 8	388931	0	0	0	0	0	0	1.00	1.00
15970	RAVER2	ribonucleoprotein, PTB-binding 2	539478	0	0	0	0	0	0	1.00	1.00
15971	RAX	retina and anterior neural fold homeobox	101445	0	0	0	0	0	0	1.00	1.00
15972	RAX2	retina and anterior neural fold homeobox 2	733	0	0	0	0	0	0	1.00	1.00
15973	RBBP5	retinoblastoma binding protein 5	561690	0	0	0	0	0	0	1.00	1.00
15974	RBBP9	retinoblastoma binding protein 9	186653	0	0	0	0	0	0	1.00	1.00
15975	RBCK1	RanBP-type and C3HC4-type zinc finger containing 1	288456	0	0	0	0	0	0	1.00	1.00
15976	RBKS	ribokinase	327982	0	0	0	0	0	0	1.00	1.00
15977	RBM11	RNA binding motif protein 11	188797	0	0	0	0	0	0	1.00	1.00
15978	RBM15B	RNA binding motif protein 15B	439813	0	0	0	0	0	0	1.00	1.00
15979	RBM17	RNA binding motif protein 17	418801	0	0	0	0	0	0	1.00	1.00
15980	RBM23	RNA binding motif protein 23	391312	0	0	0	0	0	0	1.00	1.00
15981	RBM26	RNA binding motif protein 26	1003892	0	0	0	0	0	0	1.00	1.00
15982	RBM27	RNA binding motif protein 27	947290	0	0	0	0	0	0	1.00	1.00
15983	RBM34	RNA binding motif protein 34	362858	0	0	0	0	0	0	1.00	1.00
15984	RBM39	RNA binding motif protein 39	551886	0	0	0	0	0	0	1.00	1.00
15985	RBM41	RNA binding motif protein 41	427536	0	0	0	0	0	0	1.00	1.00
15986	RBM42	RNA binding motif protein 42	331332	0	0	0	0	0	0	1.00	1.00
15987	RBM45	RNA binding motif protein 45	453208	0	0	0	0	0	0	1.00	1.00
15988	RBM46	RNA binding motif protein 46	511037	0	0	0	0	0	0	1.00	1.00
15989	RBM4B	RNA binding motif protein 4B	344081	0	0	0	0	0	0	1.00	1.00
15990	RBM5	RNA binding motif protein 5	818078	0	0	0	0	0	0	1.00	1.00
15991	RBM8A	RNA binding motif protein 8A	181445	0	0	0	0	0	0	1.00	1.00
15992	RBM9	RNA binding motif protein 9	423388	0	0	0	0	0	0	1.00	1.00
15993	RBMS2	RNA binding motif, single stranded interacting protein 2	407611	0	0	0	0	0	0	1.00	1.00
15994	RBMS3	RNA binding motif, single stranded interacting protein	459338	0	0	0	0	0	0	1.00	1.00
15995	RBMX2	RNA binding motif protein, X-linked 2	277629	0	0	0	0	0	0	1.00	1.00
15996	RBMXL2	RNA binding motif protein, X-linked-like 2	57733	0	0	0	0	0	0	1.00	1.00
15997	RBMXL3		2941	0	0	0	0	0	0	1.00	1.00
15998	RBMY1A1	RNA binding motif protein, Y-linked, family 1, member A1	949	0	0	0	0	0	0	1.00	1.00
15999	RBMY1B	RNA binding motif protein, Y-linked, family 1, member B	1286	0	0	0	0	0	0	1.00	1.00
16000	RBMY1D	RNA binding motif protein, Y-linked, family 1, member D	1286	0	0	0	0	0	0	1.00	1.00
16001	RBMY1E	RNA binding motif protein, Y-linked, family 1, member E	768	0	0	0	0	0	0	1.00	1.00
16002	RBMY1F	RNA binding motif protein, Y-linked, family 1, member F	258	0	0	0	0	0	0	1.00	1.00
16003	RBMY1J	RNA binding motif protein, Y-linked, family 1, member J	258	0	0	0	0	0	0	1.00	1.00
16004	RBP1	retinol binding protein 1, cellular	149309	0	0	0	0	0	0	1.00	1.00
16005	RBP2	retinol binding protein 2, cellular	145047	0	0	0	0	0	0	1.00	1.00
16006	RBP3	retinol binding protein 3, interstitial	701680	0	0	0	0	0	0	1.00	1.00
16007	RBP4	retinol binding protein 4, plasma	155879	0	0	0	0	0	0	1.00	1.00
16008	RBP7	retinol binding protein 7, cellular	119950	0	0	0	0	0	0	1.00	1.00
16009	RBPJ	recombination signal binding protein for immunoglobulin kappa J region	507741	0	0	0	0	0	0	1.00	1.00
16010	RBPMS	RNA binding protein with multiple splicing	263598	0	0	0	0	0	0	1.00	1.00
16011	RBPMS2	RNA binding protein with multiple splicing 2	178012	0	0	0	0	0	0	1.00	1.00
16012	RBX1	ring-box 1	97471	0	0	0	0	0	0	1.00	1.00
16013	RCAN1	regulator of calcineurin 1	200731	0	0	0	0	0	0	1.00	1.00
16014	RCAN2	regulator of calcineurin 2	181305	0	0	0	0	0	0	1.00	1.00
16015	RCAN3	RCAN family member 3	238229	0	0	0	0	0	0	1.00	1.00
16016	RCC1	regulator of chromosome condensation 1	378870	0	0	0	0	0	0	1.00	1.00
16017	RCC2	regulator of chromosome condensation 2	420287	0	0	0	0	0	0	1.00	1.00
16018	RCCD1	RCC1 domain containing 1	180265	0	0	0	0	0	0	1.00	1.00
16019	RCHY1	ring finger and CHY zinc finger domain containing 1	258828	0	0	0	0	0	0	1.00	1.00
16020	RCL1	RNA terminal phosphate cyclase-like 1	373120	0	0	0	0	0	0	1.00	1.00
16021	RCN1	reticulocalbin 1, EF-hand calcium binding domain	229510	0	0	0	0	0	0	1.00	1.00
16022	RCN2	reticulocalbin 2, EF-hand calcium binding domain	263535	0	0	0	0	0	0	1.00	1.00
16023	RCN3	reticulocalbin 3, EF-hand calcium binding domain	203839	0	0	0	0	0	0	1.00	1.00
16024	RCVRN	recoverin	187632	0	0	0	0	0	0	1.00	1.00
16025	RD3	retinal degeneration 3	133176	0	0	0	0	0	0	1.00	1.00
16026	RDBP	RD RNA binding protein	379068	0	0	0	0	0	0	1.00	1.00
16027	RDH10	retinol dehydrogenase 10 (all-trans)	253599	0	0	0	0	0	0	1.00	1.00
16028	RDH11	retinol dehydrogenase 11 (all-trans/9-cis/11-cis)	335309	0	0	0	0	0	0	1.00	1.00
16029	RDH14	retinol dehydrogenase 14 (all-trans/9-cis/11-cis)	204165	0	0	0	0	0	0	1.00	1.00
16030	RDH16	retinol dehydrogenase 16 (all-trans)	282355	0	0	0	0	0	0	1.00	1.00
16031	RDX	radixin	551574	0	0	0	0	0	0	1.00	1.00
16032	RECQL4	RecQ protein-like 4	36483	0	0	0	0	0	0	1.00	1.00
16033	RECQL5	RecQ protein-like 5	792832	0	0	0	0	0	0	1.00	1.00
16034	REEP1	receptor accessory protein 1	201350	0	0	0	0	0	0	1.00	1.00
16035	REEP3	receptor accessory protein 3	181028	0	0	0	0	0	0	1.00	1.00
16036	REEP4	receptor accessory protein 4	163396	0	0	0	0	0	0	1.00	1.00
16037	REEP6	receptor accessory protein 6	33565	0	0	0	0	0	0	1.00	1.00
16038	REG1A	regenerating islet-derived 1 alpha (pancreatic stone protein, pancreatic thread protein)	177956	0	0	0	0	0	0	1.00	1.00
16039	REG1B	regenerating islet-derived 1 beta (pancreatic stone protein, pancreatic thread protein)	173458	0	0	0	0	0	0	1.00	1.00
16040	REG3A	regenerating islet-derived 3 alpha	185234	0	0	0	0	0	0	1.00	1.00
16041	REG3G	regenerating islet-derived 3 gamma	185046	0	0	0	0	0	0	1.00	1.00
16042	RELL1	RELT-like 1	221669	0	0	0	0	0	0	1.00	1.00
16043	RELL2	RELT-like 2	255749	0	0	0	0	0	0	1.00	1.00
16044	RELT	RELT tumor necrosis factor receptor	290936	0	0	0	0	0	0	1.00	1.00
16045	REM1	RAS (RAD and GEM)-like GTP-binding 1	218088	0	0	0	0	0	0	1.00	1.00
16046	REN	renin	411427	0	0	0	0	0	0	1.00	1.00
16047	REPS1	RALBP1 associated Eps domain containing 1	762176	0	0	0	0	0	0	1.00	1.00
16048	RER1	RER1 retention in endoplasmic reticulum 1 homolog (S. cerevisiae)	174229	0	0	0	0	0	0	1.00	1.00
16049	RERG	RAS-like, estrogen-regulated, growth inhibitor	214796	0	0	0	0	0	0	1.00	1.00
16050	RERGL	RERG/RAS-like	210105	0	0	0	0	0	0	1.00	1.00
16051	RESP18		19527	0	0	0	0	0	0	1.00	1.00
16052	RETN	resistin	79116	0	0	0	0	0	0	1.00	1.00
16053	RETNLB	resistin like beta	114297	0	0	0	0	0	0	1.00	1.00
16054	REV1	REV1 homolog (S. cerevisiae)	1280670	0	0	0	0	0	0	1.00	1.00
16055	REXO1	REX1, RNA exonuclease 1 homolog (S. cerevisiae)	144065	0	0	0	0	0	0	1.00	1.00
16056	REXO1L1	REX1, RNA exonuclease 1 homolog (S. cerevisiae)-like 1	180791	0	0	0	0	0	0	1.00	1.00
16057	REXO2	REX2, RNA exonuclease 2 homolog (S. cerevisiae)	199085	0	0	0	0	0	0	1.00	1.00
16058	RFC2	replication factor C (activator 1) 2, 40kDa	348690	0	0	0	0	0	0	1.00	1.00
16059	RFC3	replication factor C (activator 1) 3, 38kDa	371943	0	0	0	0	0	0	1.00	1.00
16060	RFC4	replication factor C (activator 1) 4, 37kDa	387156	0	0	0	0	0	0	1.00	1.00
16061	RFC5	replication factor C (activator 1) 5, 36.5kDa	352869	0	0	0	0	0	0	1.00	1.00
16062	RFESD	Rieske (Fe-S) domain containing	163036	0	0	0	0	0	0	1.00	1.00
16063	RFFL	ring finger and FYVE-like domain containing 1	371102	0	0	0	0	0	0	1.00	1.00
16064	RFK	riboflavin kinase	128828	0	0	0	0	0	0	1.00	1.00
16065	RFNG	RFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	37762	0	0	0	0	0	0	1.00	1.00
16066	RFPL1	ret finger protein-like 1	324996	0	0	0	0	0	0	1.00	1.00
16067	RFPL3	ret finger protein-like 3	290319	0	0	0	0	0	0	1.00	1.00
16068	RFPL4A	ret finger protein-like 4A	9773	0	0	0	0	0	0	1.00	1.00
16069	RFPL4B	ret finger protein-like 4B	262077	0	0	0	0	0	0	1.00	1.00
16070	RFT1	RFT1 homolog (S. cerevisiae)	527240	0	0	0	0	0	0	1.00	1.00
16071	RFTN2	raftlin family member 2	496155	0	0	0	0	0	0	1.00	1.00
16072	RFWD2	ring finger and WD repeat domain 2	648027	0	0	0	0	0	0	1.00	1.00
16073	RFWD3	ring finger and WD repeat domain 3	772577	0	0	0	0	0	0	1.00	1.00
16074	RFX4	regulatory factor X, 4 (influences HLA class II expression)	831229	0	0	0	0	0	0	1.00	1.00
16075	RFX7		1194819	0	0	0	0	0	0	1.00	1.00
16076	RFX8		56655	0	0	0	0	0	0	1.00	1.00
16077	RG9MTD3	RNA (guanine-9-) methyltransferase domain containing 3	274716	0	0	0	0	0	0	1.00	1.00
16078	RGMA	RGM domain family, member A	176120	0	0	0	0	0	0	1.00	1.00
16079	RGMB	RGM domain family, member B	327374	0	0	0	0	0	0	1.00	1.00
16080	RGN	regucalcin (senescence marker protein-30)	290460	0	0	0	0	0	0	1.00	1.00
16081	RGPD1	RANBP2-like and GRIP domain containing 1	798181	0	0	0	0	0	0	1.00	1.00
16082	RGPD2	RANBP2-like and GRIP domain containing 2	798776	0	0	0	0	0	0	1.00	1.00
16083	RGPD3	RANBP2-like and GRIP domain containing 3	37996	0	0	0	0	0	0	1.00	1.00
16084	RGPD4	RANBP2-like and GRIP domain containing 4	38564	0	0	0	0	0	0	1.00	1.00
16085	RGPD5	RANBP2-like and GRIP domain containing 5	1215584	0	0	0	0	0	0	1.00	1.00
16086	RGPD6	RANBP2-like and GRIP domain containing 6	1215584	0	0	0	0	0	0	1.00	1.00
16087	RGPD8	RANBP2-like and GRIP domain containing 8	971690	0	0	0	0	0	0	1.00	1.00
16088	RGR	retinal G protein coupled receptor	302002	0	0	0	0	0	0	1.00	1.00
16089	RGS1	regulator of G-protein signaling 1	217178	0	0	0	0	0	0	1.00	1.00
16090	RGS10	regulator of G-protein signaling 10	173243	0	0	0	0	0	0	1.00	1.00
16091	RGS11	regulator of G-protein signaling 11	37604	0	0	0	0	0	0	1.00	1.00
16092	RGS13	regulator of G-protein signaling 13	162064	0	0	0	0	0	0	1.00	1.00
16093	RGS14	regulator of G-protein signaling 14	372261	0	0	0	0	0	0	1.00	1.00
16094	RGS16	regulator of G-protein signaling 16	197208	0	0	0	0	0	0	1.00	1.00
16095	RGS17	regulator of G-protein signaling 17	196220	0	0	0	0	0	0	1.00	1.00
16096	RGS19	regulator of G-protein signaling 19	132624	0	0	0	0	0	0	1.00	1.00
16097	RGS2	regulator of G-protein signaling 2, 24kDa	213405	0	0	0	0	0	0	1.00	1.00
16098	RGS20	regulator of G-protein signaling 20	286610	0	0	0	0	0	0	1.00	1.00
16099	RGS3	regulator of G-protein signaling 3	1150340	0	0	0	0	0	0	1.00	1.00
16100	RGS5	regulator of G-protein signaling 5	195067	0	0	0	0	0	0	1.00	1.00
16101	RGS6	regulator of G-protein signaling 6	505364	0	0	0	0	0	0	1.00	1.00
16102	RGS7BP	regulator of G-protein signaling 7 binding protein	249267	0	0	0	0	0	0	1.00	1.00
16103	RGS9BP	regulator of G protein signaling 9 binding protein	12924	0	0	0	0	0	0	1.00	1.00
16104	RGSL1	regulator of G-protein signaling like 1	131743	0	0	0	0	0	0	1.00	1.00
16105	RHBDD2	rhomboid domain containing 2	259720	0	0	0	0	0	0	1.00	1.00
16106	RHBDD3	rhomboid domain containing 3	75338	0	0	0	0	0	0	1.00	1.00
16107	RHBDF1	rhomboid 5 homolog 1 (Drosophila)	357306	0	0	0	0	0	0	1.00	1.00
16108	RHBDL1	rhomboid, veinlet-like 1 (Drosophila)	8760	0	0	0	0	0	0	1.00	1.00
16109	RHBDL2	rhomboid, veinlet-like 2 (Drosophila)	310359	0	0	0	0	0	0	1.00	1.00
16110	RHCE	Rh blood group, CcEe antigens	383959	0	0	0	0	0	0	1.00	1.00
16111	RHCG	Rh family, C glycoprotein	438832	0	0	0	0	0	0	1.00	1.00
16112	RHD	Rh blood group, D antigen	337986	0	0	0	0	0	0	1.00	1.00
16113	RHEB	Ras homolog enriched in brain	178906	0	0	0	0	0	0	1.00	1.00
16114	RHEBL1	Ras homolog enriched in brain like 1	194681	0	0	0	0	0	0	1.00	1.00
16115	RHO	rhodopsin	347455	0	0	0	0	0	0	1.00	1.00
16116	RHOBTB1	Rho-related BTB domain containing 1	717891	0	0	0	0	0	0	1.00	1.00
16117	RHOBTB3	Rho-related BTB domain containing 3	606126	0	0	0	0	0	0	1.00	1.00
16118	RHOD	ras homolog gene family, member D	151390	0	0	0	0	0	0	1.00	1.00
16119	RHOJ	ras homolog gene family, member J	226461	0	0	0	0	0	0	1.00	1.00
16120	RHOQ	ras homolog gene family, member Q	173868	0	0	0	0	0	0	1.00	1.00
16121	RHOT2	ras homolog gene family, member T2	17337	0	0	0	0	0	0	1.00	1.00
16122	RHOU	ras homolog gene family, member U	181677	0	0	0	0	0	0	1.00	1.00
16123	RHOXF2	Rhox homeobox family, member 2	195000	0	0	0	0	0	0	1.00	1.00
16124	RHOXF2B	Rhox homeobox family, member 2B	195000	0	0	0	0	0	0	1.00	1.00
16125	RHPN1	rhophilin, Rho GTPase binding protein 1	49905	0	0	0	0	0	0	1.00	1.00
16126	RIBC1	RIB43A domain with coiled-coils 1	388756	0	0	0	0	0	0	1.00	1.00
16127	RIBC2	RIB43A domain with coiled-coils 2	199663	0	0	0	0	0	0	1.00	1.00
16128	RIC8A	resistance to inhibitors of cholinesterase 8 homolog A (C. elegans)	368309	0	0	0	0	0	0	1.00	1.00
16129	RICH2		559271	0	0	0	0	0	0	1.00	1.00
16130	RILPL1	Rab interacting lysosomal protein-like 1	260528	0	0	0	0	0	0	1.00	1.00
16131	RILPL2	Rab interacting lysosomal protein-like 2	115013	0	0	0	0	0	0	1.00	1.00
16132	RIMBP3	RIMS binding protein 3	344291	0	0	0	0	0	0	1.00	1.00
16133	RIMBP3B	RIMS binding protein 3B	802	0	0	0	0	0	0	1.00	1.00
16134	RIMBP3C	RIMS binding protein 3C	802	0	0	0	0	0	0	1.00	1.00
16135	RIMKLA		341301	0	0	0	0	0	0	1.00	1.00
16136	RIMKLB		342713	0	0	0	0	0	0	1.00	1.00
16137	RIMS3	regulating synaptic membrane exocytosis 3	297681	0	0	0	0	0	0	1.00	1.00
16138	RIN1	Ras and Rab interactor 1	342851	0	0	0	0	0	0	1.00	1.00
16139	RIN3	Ras and Rab interactor 3	679878	0	0	0	0	0	0	1.00	1.00
16140	RINL		237621	0	0	0	0	0	0	1.00	1.00
16141	RIOK2	RIO kinase 2 (yeast)	570493	0	0	0	0	0	0	1.00	1.00
16142	RIPK1	receptor (TNFRSF)-interacting serine-threonine kinase 1	680703	0	0	0	0	0	0	1.00	1.00
16143	RIPPLY1	ripply1 homolog (zebrafish)	135197	0	0	0	0	0	0	1.00	1.00
16144	RIPPLY2	ripply2 homolog (zebrafish)	71382	0	0	0	0	0	0	1.00	1.00
16145	RIT1	Ras-like without CAAX 1	229957	0	0	0	0	0	0	1.00	1.00
16146	RLBP1	retinaldehyde binding protein 1	306549	0	0	0	0	0	0	1.00	1.00
16147	RLN1	relaxin 1	179122	0	0	0	0	0	0	1.00	1.00
16148	RLN2	relaxin 2	193173	0	0	0	0	0	0	1.00	1.00
16149	RLN3	relaxin 3	125508	0	0	0	0	0	0	1.00	1.00
16150	RMND1	required for meiotic nuclear division 1 homolog (S. cerevisiae)	427252	0	0	0	0	0	0	1.00	1.00
16151	RNASE10	ribonuclease, RNase A family, 10 (non-active)	214007	0	0	0	0	0	0	1.00	1.00
16152	RNASE4	ribonuclease, RNase A family, 4	155901	0	0	0	0	0	0	1.00	1.00
